DDH_name,From_m,To_m,JoinID,Sample_length_m,Al_pct,Si_pct,S_pct,K_pct,Ca_pct,Ti_ppm,Mn_ppm,Fe_pct,Cu_ppm,Rb_ppm,Sr_ppm,Major_Unit_Interp
DDH-1,1133.900024,1134,SCC-0011133.91134,0.100000001,6.341300011,34.05789948,0.25029999,6.400899887,0.158000007,974,102,1.127400041,1304,231,88,Oracle Granite
DDH-1,1134,1134.099976,SCC-00111341134.1,0.100000001,6.980400085,33.70610046,0.172099993,7.65530014,0.148399994,1232,76,0.981899977,867,243,115,Oracle Granite
DDH-1,1134.099976,1134.199951,SCC-0011134.11134.2,0.100000001,5.169700146,29.76390076,0.471799999,6.410399914,0.248199999,988,188,1.679399967,1329,242,57,Oracle Granite
DDH-1,1134.300049,1134.400024,SCC-0011134.31134.4,0.100000001,7.857600212,39.19010162,0.522599995,7.349100113,0.203400001,1124,168,1.840800047,2403,225,47,Oracle Granite
DDH-1,1134.400024,1134.5,SCC-0011134.41134.5,0.100000001,5.626399994,33.50329971,0.528599977,6.590000153,0.286900014,621,87,1.111099958,1613,194,57,Oracle Granite
DDH-1,1134.599976,1134.699951,SCC-0011134.61134.7,0.100000001,5.392799854,29.24449921,0.58920002,5.403900146,0.276499987,1221,131,1.067499995,1198,153,45,Oracle Granite
DDH-1,1134.699951,1134.800049,SCC-0011134.71134.8,0.100000001,6.190700054,37.0951004,0.44569999,6.432600021,0.244000003,1248,132,1.886700034,1611,242,55,Oracle Granite
DDH-1,1135.099976,1135.199951,SCC-0011135.11135.2,0.100000001,7.303899765,34.67359924,0.2588,7.720300198,0.137600005,804,143,2.204900026,1167,346,34,Oracle Granite
DDH-1,1135.199951,1135.300049,SCC-0011135.21135.3,0.100000001,6.320799828,34.96459961,0.264699996,6.519999981,0.245000005,897,191,1.309599996,549,216,67,Oracle Granite
DDH-1,1135.300049,1135.400024,SCC-0011135.31135.4,0.100000001,7.408299923,34.93849945,0.467400014,5.922100067,0.25999999,1153,166,4.502900124,1631,182,36,Oracle Granite
DDH-1,1135.599976,1135.699951,SCC-0011135.61135.7,0.100000001,6.018000126,35.02930069,0.837599993,6.0145998,0.517799973,1082,181,2.266200066,1588,179,59,Oracle Granite
DDH-1,1135.699951,1135.800049,SCC-0011135.71135.8,0.100000001,5.871799946,36.33670044,1.101199985,4.969299793,0.904799998,1505,327,1.879299998,855,142,57,Oracle Granite
DDH-1,1135.800049,1135.900024,SCC-0011135.81135.9,0.100000001,5.873600006,29.19750023,1.225399971,5.01240015,1.139799953,662,368,2.303900003,708,167,47,Oracle Granite
DDH-1,1135.900024,1136,SCC-0011135.91136,0.100000001,5.810599804,32.34429932,1.051300049,6.069699764,0.505599976,1227,199,0.926299989,830,188,55,Oracle Granite
DDH-1,1136,1136.099976,SCC-00111361136.1,0.100000001,6.415299892,41.33300018,0.763300002,6.435900211,0.303000003,1107,186,0.515999973,914,173,71,Oracle Granite
DDH-1,1136.099976,1136.199951,SCC-0011136.11136.2,0.100000001,4.396999836,33.70410156,1.053500056,4.355899811,0.992999971,706,394,0.508099973,870,110,68,Oracle Granite
DDH-1,1136.199951,1136.300049,SCC-0011136.21136.3,0.100000001,5.462800026,31.74239922,1.050500035,5.679399967,1.323699951,1088,506,0.790099978,701,190,83,Oracle Granite
DDH-1,1136.300049,1136.400024,SCC-0011136.31136.4,0.100000001,6.781099796,35.12670135,0.881099999,7.571199894,0.591000021,954,221,0.828599989,821,224,92,Oracle Granite
DDH-1,1136.400024,1136.5,SCC-0011136.41136.5,0.100000001,5.131599903,34.42419815,0.605499983,6.249100208,0.346100003,906,186,0.65990001,1076,187,47,Oracle Granite
DDH-1,1136.5,1136.599976,SCC-0011136.51136.6,0.100000001,6.876999855,39.2016983,0.918500006,6.792699814,0.319799989,971,132,1.027699947,1579,228,72,Oracle Granite
DDH-1,1136.599976,1136.699951,SCC-0011136.61136.7,0.100000001,8.654600143,40.39870071,0.653100014,6.865499973,0.250800014,946,113,1.01970005,1400,244,74,Oracle Granite
DDH-1,1136.699951,1136.800049,SCC-0011136.71136.8,0.100000001,6.706099987,34.55889893,0.612999976,6.100399971,0.348699987,1109,136,0.835200012,1541,234,82,Oracle Granite
DDH-1,1136.800049,1136.900024,SCC-0011136.81136.9,0.100000001,5.720399857,30.35180092,0.375999987,7.16989994,0.2676,647,69,0.585799992,503,277,96,Oracle Granite
DDH-1,1136.900024,1137,SCC-0011136.91137,0.100000001,7.073599815,34.29859924,0.660899997,6.643899918,0.461499989,1276,147,1.616600037,1281,231,82,Oracle Granite
DDH-1,1137,1137.099976,SCC-00111371137.1,0.100000001,6.723100185,31.85309982,0.629800022,6.15320015,0.666800022,1817,253,0.964100003,1833,189,79,Oracle Granite
DDH-1,1137.099976,1137.199951,SCC-0011137.11137.2,0.100000001,5.98210001,34.20510101,0.385800004,7.232200146,0.30309999,1839,126,0.777800024,1930,202,68,Oracle Granite
DDH-1,1137.300049,1137.400024,SCC-0011137.31137.4,0.100000001,5.938000202,29.58379936,0.566600025,5.198200226,0.353199989,588,138,1.613700032,930,178,52,Oracle Granite
DDH-1,1137.400024,1137.5,SCC-0011137.41137.5,0.100000001,6.817200184,38.83300018,0.769999981,5.565499783,0.504499972,1075,159,1.556599975,1996,192,72,Oracle Granite
DDH-1,1137.5,1137.599976,SCC-0011137.51137.6,0.100000001,6.198400021,30.69560051,0.963999987,5.173600197,0.421000004,857,147,1.163100004,1881,191,70,Oracle Granite
DDH-1,1137.599976,1137.699951,SCC-0011137.61137.7,0.100000001,7.133399963,36.51459885,1.411000013,7.10379982,0.513999999,1019,86,1.076200008,1254,230,79,Oracle Granite
DDH-1,1137.699951,1137.800049,SCC-0011137.71137.8,0.100000001,7.215300083,38.70610046,1.515799999,6.388899803,0.789900005,1490,331,1.42050004,5188,194,91,Oracle Granite
DDH-1,1137.800049,1137.900024,SCC-0011137.81137.9,0.100000001,3.217499971,23.23460007,0.549799979,4.05340004,0.441199988,627,241,0.837800026,3135,106,46,Oracle Granite
DDH-1,1137.900024,1138,SCC-0011137.91138,0.100000001,7.091800213,34.6731987,0.981100023,6.151299953,0.47209999,720,218,1.19630003,4125,241,50,Oracle Granite
DDH-1,1138.099976,1138.199951,SCC-0011138.11138.2,0.100000001,7.857800007,35.12149811,0.782299995,6.495500088,0.60799998,1278,383,0.976700008,2166,204,76,Oracle Granite
DDH-1,1138.199951,1138.300049,SCC-0011138.21138.3,0.100000001,6.275899887,34.95140076,0.66109997,5.216400146,0.342000008,388,186,1.233700037,1601,200,40,Oracle Granite
DDH-1,1138.300049,1138.400024,SCC-0011138.31138.4,0.100000001,5.631000042,32.78279877,1.318699956,4.79309988,0.839600027,631,475,1.342399955,7044,129,62,Oracle Granite
DDH-1,1138.400024,1138.5,SCC-0011138.41138.5,0.100000001,5.458399773,34.7159996,1.118299961,5.396800041,0.593599975,1038,278,1.240700006,5219,123,62,Oracle Granite
DDH-1,1138.5,1138.599976,SCC-0011138.51138.6,0.100000001,5.161399841,30.25379944,0.844299972,4.927999973,0.439900011,680,198,0.955600023,3317,111,50,Oracle Granite
DDH-1,1138.599976,1138.699951,SCC-0011138.61138.7,0.100000001,4.723599911,34.92959976,1.354799986,4.631899834,0.573499978,839,281,0.97240001,3994,113,63,Oracle Granite
DDH-1,1138.699951,1138.800049,SCC-0011138.71138.8,0.100000001,6.043900013,39.16659927,0.84009999,6.275599957,0.475100011,403,233,0.921800017,3801,190,50,Oracle Granite
DDH-1,1138.800049,1138.900024,SCC-0011138.81138.9,0.100000001,6.575099945,33.86589813,0.8125,5.780399799,0.576099992,365,284,1.059000015,1887,348,51,Oracle Granite
DDH-1,1138.900024,1139,SCC-0011138.91139,0.100000001,6.536200047,32.90409851,0.912899971,6.664000034,0.681800008,616,277,0.63440001,1123,429,91,Oracle Granite
DDH-1,1139,1139.099976,SCC-00111391139.1,0.100000001,6.890900135,35.89020157,1.198300004,6.166100025,0.504800022,1007,135,0.495400012,1027,218,74,Oracle Granite
DDH-1,1139.099976,1139.199951,SCC-0011139.11139.2,0.100000001,6.742499828,33.36840057,0.989400029,5.563799858,0.465999991,1364,186,0.605700016,796,243,78,Oracle Granite
DDH-1,1139.199951,1139.300049,SCC-0011139.21139.3,0.100000001,6.550799847,34.52970123,0.917999983,6.398099899,0.38530001,851,140,1.059399962,1137,247,58,Oracle Granite
DDH-1,1139.300049,1139.400024,SCC-0011139.31139.4,0.100000001,7.164999962,38.29560089,0.713400006,5.782899857,0.245800003,437,125,1.005300045,1118,301,34,Oracle Granite
DDH-1,1139.400024,1139.5,SCC-0011139.41139.5,0.100000001,6.400300026,31.82119942,1.163699985,5.259300232,0.42899999,845,158,1.356299996,1329,174,69,Oracle Granite
DDH-1,1139.5,1139.599976,SCC-0011139.51139.6,0.100000001,6.599999905,31.8864994,0.645500004,6.056499958,0.414999992,998,149,1.664899945,1159,202,68,Oracle Granite
DDH-1,1139.599976,1139.699951,SCC-0011139.61139.7,0.100000001,6.305699825,35.69120026,0.573800027,5.873000145,0.258899987,1563,183,1.235800028,1779,173,55,Oracle Granite
DDH-1,1139.699951,1139.800049,SCC-0011139.71139.8,0.100000001,5.992800236,32.27420044,0.585300028,5.858200073,0.431600004,807,320,0.898899972,1976,174,69,Oracle Granite
DDH-1,1139.800049,1139.900024,SCC-0011139.81139.9,0.100000001,7.918499947,34.4211998,0.68779999,6.34250021,0.493099988,1000,290,1.432399988,3149,203,60,Oracle Granite
DDH-1,1139.900024,1140,SCC-0011139.91140,0.100000001,6.793000221,32.11830139,0.6699,6.286699772,0.516200006,1185,345,1.363800049,3418,219,75,Oracle Granite
